"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing"
"2","6","10","6","10","6","10","6","10","6","10","6","10"
"3","0.4255423989898","0.700967998235623","0.218103396794086","0.348823887922928","0.310127493775326","0.511183549990101","0.272212358189643","0.340132461128382","0.285705937427089","0.357219477238597","0.314273904174056","0.410867001083421"
"4","0.446254544535631","0.68598287360598","0.193665965065319","0.327789540073335","0.319419056501553","0.512947387838239","0.213443798053947","0.334169281205652","0.300615381111525","0.386193849289843","0.314521837447782","0.400879896289034"
"5","0.418624724841616","0.693999324613288","0.217287771136073","0.342736935523525","0.300864228381686","0.520181645047397","0.265771212383718","0.36087441655851","0.279407194595348","0.373497721866191","0.308796306676111","0.393095618638904"
"6","0.417843374428344","0.684326994706567","0.200749866777915","0.337330950638122","0.307784008071068","0.519003734189577","0.279070888546631","0.349828989725006","0.290933111662818","0.35805122427077","0.327340537666042","0.410783970664718"
"7","0.406994679091107","0.692031562228033","0.22832980744376","0.325389050607807","0.307101973433455","0.508552472628441","0.274303351501727","0.360938942104101","0.267207808388152","0.376772888290339","0.330379961260529","0.429834098343289"
"8","0.424881208388744","0.702005633413487","0.233986128245269","0.351984501206418","0.291297949582296","0.541723638992825","0.27218630499791","0.339434108534412","0.310281787606855","0.381263905586252","0.325495886407779","0.415353478400015"
"9","0.403911973603738","0.694067607030939","0.217400163281867","0.351235171691899","0.311919370684769","0.498706166497427","0.259102221429439","0.347043087588333","0.261506425101348","0.358480511758155","0.358449044984598","0.419603943755094"
"10","0.396863999091459","0.682541480308564","0.209862412476746","0.335713942151958","0.302915269816217","0.512583765225615","0.246542775668935","0.345594693413447","0.291818763222156","0.355566211988208","0.344546443115836","0.422090543323353"
"11","0.418224308453081","0.703290002473926","0.224123486285491","0.347724419742751","0.291730039426292","0.545547472810884","0.256348223608668","0.348941072333991","0.286260037102639","0.359716804107533","0.316746463594264","0.411093222553014"
"12","0.423134629095283","0.70846635233613","0.233040268645627","0.329431074360675","0.317898303595373","0.53094437180485","0.276712847333936","0.349540164671731","0.288671234813121","0.363273104872644","0.320574929322294","0.419156763775513"
