"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","positive","positive","negative","negative","multiplicative","multiplicative","directional","directional","diminishingReturns","diminishingReturns","stabilizing","stabilizing"
"2","6","10","6","10","6","10","6","10","6","10","6","10"
"3","0.402057089918861","0.627183531436908","0.222288064279201","0.349376787799586","0.308172048001014","0.519678694768413","0.267778274954342","0.353194206893209","0.289513334699801","0.392268498492668","0.304699420632975","0.409492040164748"
"4","0.429220427419348","0.645373957027308","0.198991590826777","0.33059291025558","0.298947394994313","0.491193517754297","0.239447482969989","0.320219304534082","0.269030800896534","0.354026494051717","0.298707734446042","0.409247121079335"
"5","0.436117310036863","0.664216299241524","0.210651980370917","0.319478917545353","0.34542764493791","0.523035873087735","0.266529242083657","0.342690661296987","0.261287036716551","0.35225597106048","0.307686949948252","0.418770396811804"
"6","0.409618264972636","0.664459558623157","0.198307147575156","0.326144818337406","0.324494844445834","0.544652538003758","0.262125034474024","0.36341543970594","0.305611444632299","0.335784974460089","0.313879558835195","0.411131163339079"
"7","0.409483681760357","0.658554828931254","0.236658240312132","0.358345937770044","0.323960465417027","0.495289988318593","0.247995290331575","0.351865714431362","0.292980911596078","0.358455123729159","0.318650580032831","0.439489714180819"
"8","0.426354356489681","0.664717978640859","0.248417764717406","0.334034450385789","0.316066250574058","0.522132858156047","0.263940864857367","0.330360023546091","0.301802837381471","0.369673340155694","0.304336413940619","0.37663091824864"
"9","0.419113621718797","0.659546502324226","0.210948981341624","0.340851483692992","0.317169750690559","0.519900159050423","0.252179621370117","0.359162413221827","0.278859939846175","0.348991776211775","0.311194364204289","0.412441688904841"
"10","0.43184188870347","0.634796949807892","0.231738172669981","0.345256007737587","0.303812999481096","0.517220791152063","0.248319163727025","0.342957002562461","0.285493216857762","0.370333118105879","0.330441314104461","0.427182548120636"
"11","0.404722410722329","0.669046840517062","0.189046136643144","0.341343042184724","0.295073695274021","0.490177072349408","0.259315238523624","0.35551601943296","0.283842373652576","0.353571376352289","0.324804604272291","0.417067012958372"
"12","0.425118071720176","0.664294591261408","0.21050136405242","0.307833688674451","0.309611703175946","0.50789953463066","0.276052463521388","0.352821426995215","0.280640899986742","0.358924167977835","0.316827764247871","0.422412346952063"
